0|Ime|0|opis ture|jezik|5|12/11/1234|8|False|5
1|Toure around Prague|1|Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus suscipit lacus id risus elementum tempor. Curabitur condimentum fringilla tortor, ac imperdiet urna auctor feugiat.|English|6|24/04/2023|8|False|5
2|Toure de France|2|Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus suscipit lacus id risus elementum tempor. Curabitur condimentum fringilla tortor, ac imperdiet urna auctor feugiat.|English|12|21/04/2023|14|False|5
3|Toure to Vienna|3|Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus suscipit lacus id risus elementum tempor. Curabitur condimentum fringilla tortor, ac imperdiet urna auctor feugiat.|German|21|28/04/2023|6|False|5
4|Tour 1|4|Tour through Serbia|Serbian|100|08/04/2023|5|False|3
5|Tour 2|1|Tour through Czech Republic|Czech|80|13/04/2023|4|False|3
8|Tour 4|8|Description of tour 4|Serbian|110|17/04/2023|200|False|3
9|aaa|5|sds|asd|5|26/03/2023|4|False|5
10|a1|10|s|s|3|14/04/2023|3|False|3
11|a2|5|a|a|2|07/04/2022|3|False|5
12|Turica|12|Vroom|Serbian|64|12/04/2021|8|False|3
13|a|5|ssda|asd|45|07/04/2023|8|False|5
14|Tour3|14|nova tura 3|Italian|222|13/04/2023|333|True|3
